row_0,S100,S115,S131,S132,S2,S31,S32,S35,S6,S60,S8,S86,S88,S93,S96
S100,100,98,76,100,75,99,99,98,76,98,100,81,100,99,96
S115,98,100,72,98,72,97,97,96,72,96,98,81,98,97,97
S131,76,72,100,76,68,75,75,75,94,76,76,65,76,74,72
S132,100,98,76,100,75,99,99,98,76,98,100,81,100,99,96
S2,75,72,68,75,100,74,74,73,68,73,75,71,75,72,72
S31,99,97,75,99,74,100,99,99,75,99,99,80,99,98,95
S32,99,97,75,99,74,99,100,98,75,98,99,80,99,98,95
S35,98,96,75,98,73,99,98,100,75,99,98,79,98,97,94
S6,76,72,94,76,68,75,75,75,100,75,76,65,76,76,72
S60,98,96,76,98,73,99,98,99,75,100,98,79,98,97,94
S8,100,98,76,100,75,99,99,98,76,98,100,81,100,99,96
S86,81,81,65,81,71,80,80,79,65,79,81,100,81,80,81
S88,100,98,76,100,75,99,99,98,76,98,100,81,100,99,96
S93,99,97,74,99,72,98,98,97,76,97,99,82,99,100,94
S96,96,97,72,96,72,95,95,94,72,94,96,81,96,94,100
